generation,hypervolume
0,7.913549454241848E11
1,1.0886956488915381E12
2,1.1069844201691807E12
3,1.134501398712018E12
4,1.154925419507339E12
5,1.3217444342944485E12
6,1.344375694043727E12
7,1.344375694043727E12
8,1.3472616295252852E12
9,1.3472616295252852E12
10,1.3472616295252852E12
11,1.42372254333009E12
12,1.42372254333009E12
13,1.42372254333009E12
14,1.4664728053353162E12
15,1.4664728053353162E12
16,1.4666673557983508E12
17,1.4666673557983508E12
18,1.4666673557983508E12
19,1.4666673557983508E12
20,1.4666673557983508E12
21,1.5443460714828767E12
22,1.5443460714828767E12
23,1.5443460714828767E12
24,1.5443460714828767E12
25,1.5443460714828767E12
26,1.5443460714828767E12
27,1.5443460714828767E12
28,1.5443460714828767E12
29,1.5443460714828767E12
30,1.5443460714828767E12
31,1.5443460714828767E12
32,1.5443460714828767E12
33,1.5468318219441487E12
34,1.5468318219441487E12
35,1.5468318219441487E12
36,1.5468318219441487E12
37,1.5468318219441487E12
38,1.5468318219441487E12
39,1.5468318219441487E12
40,1.5468318219441487E12
41,1.5468318219441487E12
42,1.5468318219441487E12
43,1.5468318219441487E12
44,1.5468318219441487E12
45,1.5468318219441487E12
46,1.5468318219441487E12
47,1.5471072360958838E12
48,1.5471072360958838E12
49,1.5471072360958838E12
50,1.5471072360958838E12
51,1.5471072360958838E12
52,1.5471072360958838E12
53,1.6319379266686626E12
54,1.6319379266686626E12
55,1.6319379266686626E12
56,1.632715546667604E12
57,1.632715546667604E12
58,1.632715546667604E12
59,1.632715546667604E12
