generation,hypervolume
0,1.218831222506393E12
1,1.2415196571586128E12
2,1.2415196571586128E12
3,1.2444150785995112E12
4,1.2462239639544304E12
5,1.2462239639544304E12
6,1.2462239639544304E12
7,1.2462239639544304E12
8,1.2462239639544304E12
9,1.2462239639544304E12
10,1.2462239639544304E12
11,1.2584479014329336E12
12,1.2584479014329336E12
13,1.2584479014329336E12
14,1.2584479014329336E12
15,1.2584479014329336E12
16,1.2584479014329336E12
17,1.2584479014329336E12
18,1.2613254526795261E12
19,1.2613254526795261E12
20,1.2613254526795261E12
21,1.2613254526795261E12
22,1.2613254526795261E12
23,1.2856371671820964E12
24,1.2856371671820964E12
25,1.2856371671820964E12
26,1.2856371671820964E12
27,1.2856371671820964E12
28,1.2856371671820964E12
29,1.2856371671820964E12
30,1.2856371671820964E12
31,1.2885545410749202E12
32,1.2885545410749202E12
33,1.2885545410749202E12
34,1.2932532749896853E12
35,1.2958241913116785E12
36,1.2958241913116785E12
37,1.2958241913116785E12
38,1.2958241913116785E12
39,1.2973217801442756E12
40,1.2976478583353948E12
41,1.3017501292994626E12
42,1.3017501292994626E12
43,1.3017501292994626E12
44,1.3017501292994626E12
45,1.3017501292994626E12
46,1.3017501292994626E12
47,1.3017501292994626E12
48,1.3017501292994626E12
49,1.3017501292994626E12
50,1.3031939534036135E12
51,1.3031939534036135E12
52,1.3031939534036135E12
53,1.3245998815993206E12
54,1.3260263609779114E12
55,1.3260263609779114E12
56,1.3301483728945232E12
57,1.3301483728945232E12
58,1.3507662021799705E12
59,1.3507662021799705E12
