f1_makespan,f2_cost,f3_energy
18412.160636019,108405.18639514243,165185.38084615392
16600.195732495067,108707.41358383239,166940.56915384624
19354.334224979557,108166.374145172,165202.71092307675
17411.660510539175,108612.25357741883,166253.59015384602
14837.265675696031,111912.12384571962,174188.16553846156
17355.01588311547,108661.60972682691,167146.53438461557
21273.8955281717,108147.07329044513,164742.08146153847
16367.055869020276,109062.33286393176,167980.61099999995
15826.180022415196,109192.98727946603,168472.52007692307
15531.258034875365,109210.355436891,168304.79284615352
15280.521607919836,110678.22834371617,170855.38223076932
