f1_makespan,f2_cost,f3_energy
15437.91094387481,111381.50002807412,172782.24692307683
15383.187477038478,112296.23017340149,175078.0112307691
16674.734641165305,107583.10265625067,165287.0012307691
18701.944990395623,105655.81961817865,160610.1943846154
16100.586223427657,110539.91966334434,171581.72861538432
19867.63674075874,103115.84166923362,156024.15161538456
21431.311394985496,102281.59941371699,154723.57730769244
16226.850800514516,109531.5170383947,169835.38430769238
28213.662081153583,96576.02270084535,144225.46430769213
30575.24309839044,96002.69207085838,143018.4032307691
31408.143390781657,95756.14853349543,142682.93653846142
29410.835698473962,96401.14031912718,143872.0116923077
29762.099789731332,96219.88645010571,143812.95207692272
29956.60797987124,96092.65371611618,143620.81846153806
17473.359525902713,106669.22461799259,163250.3243076923
19511.004575302806,104505.66492360539,159020.64646153824
29785.25134382125,96691.73830180382,143600.28184615384
16149.825325953114,110488.35669014626,170447.51607692312
18845.167223154636,104773.67642931292,159449.05592307667
19689.48575668833,104526.61289411482,158795.4290769231
17364.82677854571,107257.2303573907,164953.54938461518
17219.407831052038,107811.47859939486,165261.6904615386
23893.38989387318,97644.17981256005,144793.29138461538
18674.666912259356,105861.03320955922,161722.8893076922
23444.774219668416,97836.74778799083,145372.14138461527
24946.174823483507,96781.75102887784,143649.4403076922
24603.389604283806,97005.08578217615,143838.0528461538
19746.897241813906,104151.67095842688,158618.80938461528
18427.89061575068,105970.07876809032,161862.76869230732
22340.117444975363,98975.82331678546,147242.4876923077
21708.524247738653,102212.03095533485,153719.37184615395
17910.12361961513,105932.82972972299,161904.26053846139
22141.18086703662,99043.40612436962,147027.78507692306
17863.829129815123,106198.48177459373,162158.2504615383
22426.230769230784,98817.04205218291,146464.3343076923
17590.59792090813,106511.74521014464,162585.02907692283
18446.739004230516,106033.76571862603,161650.9089230766
16390.026403863125,108156.46048155361,166141.29323076914
23052.858713591402,98736.87496361384,147533.49899999972
