run,seed,ref_f1,ref_f2,ref_f3,pareto_mojs,pareto_aco,pareto_random,pareto_greedy,hv_mojs,hv_aco,hv_random,hv_greedy,time_mojs_s,time_aco_s,time_random_s,time_greedy_s,time_total_s
1,42,20381.900392972402,122630.48577868514,190798.64531538403,48,16,6,1,2.255317346850587E12,1.7003479146332156E12,1.3801649573166943E12,8.264854764943483E11,8.0001466,0.6613648,0.0196937,0.0240332,8.8194754
2,43,20666.767622820527,125299.58021881865,195851.2364769229,39,12,9,1,3.575824309120924E12,2.804231861318657E12,2.1262412795589106E12,1.5960176278666719E12,7.2349039,0.5739613,0.0227603,0.006977,7.8974214
3,44,18999.81628454512,122822.51206866566,190140.7771153844,39,11,5,1,1.3507662021799705E12,1.2724334412186812E12,8.170908346360897E11,6.559640683115526E11,6.6421845,0.5771814,0.0197153,0.0092453,7.2785302
4,45,20738.543827412803,121149.93694113723,187983.04698461547,48,19,4,1,1.9656334328329644E12,1.4415253435313962E12,1.0699455743942761E12,5.447299850038366E11,6.5694904,0.6148134,0.0216619,0.0047374,7.2440557
5,46,21808.46955344298,122811.45391046528,190515.30401538464,46,15,11,1,3.183514536786748E12,2.1930622894624163E12,1.61386251662542E12,9.679290478531466E11,6.8751958,0.5839193,0.0183233,0.0101651,7.5183172
