run,seed,ref_f1,ref_f2,ref_f3,pareto_mojs,pareto_aco,pareto_random,pareto_greedy,hv_mojs,hv_aco,hv_random,hv_greedy,time_mojs_s,time_aco_s,time_random_s,time_greedy_s,time_total_s
1,42,20381.350010591275,122626.19907505455,190798.64531538403,42,17,6,1,2.178750551010076E12,1.7483931908570986E12,1.3808422973949727E12,8.639335071904583E11,7.8198445,0.6368183,0.0265762,0.0217731,8.6687072
2,43,20626.25004377875,125292.79148021934,195851.2364769229,46,18,9,1,3.1549336678947705E12,2.7112319496263506E12,2.1116581615930059E12,1.647416381988162E12,6.6124257,0.5622136,0.0206171,0.0046069,7.2654505
3,44,18963.97735547954,122817.29662237549,190140.7771153844,47,15,6,1,1.4371841979488376E12,1.202823075277885E12,8.226953368508838E11,6.87836675823536E11,6.0928692,0.5499311,0.0170935,0.0061237,6.6974083
4,45,20738.525126023727,121145.96022256193,187983.04698461547,49,9,4,1,2.256210426158124E12,1.632715546667604E12,1.0819512990026357E12,5.72721597897544E11,6.0329082,0.522827,0.0251114,0.0026261,6.6221391
5,46,21771.198178495677,122806.70364707978,190515.30401538464,42,8,11,1,3.155130202526583E12,2.377218453180957E12,1.6201935999052075E12,1.0066618624027249E12,6.0247153,0.5267402,0.0184394,0.0026316,6.5994263
