f1_makespan,f2_cost,f3_energy
15275.099719676451,109994.24170296906,169881.32261538444
19033.348605400977,108532.72126816174,165877.88815384626
17845.162095766722,108454.88746011133,166261.3264615383
16630.183343099052,109222.26409329845,167743.02092307678
17010.29948097931,108578.2965317665,166118.3455384613
18573.184716980668,108767.52082125655,165915.09946153834
16681.821221306283,109235.4440600298,167276.62984615358
19917.751172145734,108382.52362082023,165733.66615384625
16316.63881742177,109662.20750663056,168959.35384615348
16697.96428699638,108961.81511084935,167367.14515384572
20758.64341268067,108493.20802828079,164711.03930769203
14759.316016508412,111300.59295166796,172800.22776923067
16134.033630662538,109844.95843518793,169643.29015384606
