f1_makespan,f2_cost,f3_energy
17354.46153846155,107045.42351835498,163380.20146153832
16862.149744253024,107447.33535523388,164230.19815384602
18061.35298124896,107353.35692616664,162757.90453846176
16503.03567665131,108785.53380404858,167251.28169230785
15609.627681800745,110489.29242954179,171048.37592307685
21644.92898523154,102186.79337197656,153963.13638461524
18238.369749176458,105489.77095392902,160811.76276923044
35176.84615384613,95379.47446036186,142432.8283846151
35060.136027995104,95392.80977246567,142254.53538461536
20783.289285506024,102503.76195773209,154924.02969230758
15753.444764341648,109609.47062804856,169294.10815384606
16096.148062882854,109599.33083052744,168863.84976923047
35785.19546646082,94634.70801884898,141361.57107692302
27240.5786891207,95619.93155895715,141749.82553846145
15609.421636037137,110890.3550313927,171786.04084615415
19128.958411673473,104815.23353615562,160316.2444615383
19333.328418804962,103925.70551791918,158069.0404615383
20764.936247632606,103284.8316930828,156581.3727692305
21942.314402122625,99862.21841574495,149361.60299999977
22555.994012420306,99201.48258825172,147720.36507692293
19879.0029535667,103720.5458934616,157818.34338461503
17240.405144111097,106922.74467502895,164091.45323076894
22109.540317300878,99617.51123282868,148962.9265384613
16560.3619035197,108391.94816201065,167371.93199999977
22245.111458603038,99583.99908626029,149047.11346153833
20221.343368435162,103594.08147645665,157028.79899999994
19018.740884587194,104972.97351181363,159584.18538461532
18372.356269202584,105183.27878733628,160029.21600000001
26255.92868261762,96421.39848839838,143993.6667692305
26266.79990040006,96125.86809651219,143242.79030769205
24381.415285015442,97111.35963867132,144737.4671538459
24647.21054115579,96813.51384832787,144445.1293846151
24595.186647751503,97095.646642135,144762.66092307682
24234.083046029435,97135.82959651038,144590.1348461535
19131.002953566698,104930.03628081507,160048.7263846151
19246.017607810743,104801.70619641579,160047.0726923079
22952.426799900128,98686.85511879697,147481.65576923086
18184.67988948058,105684.53959491635,161272.38669230771
17651.478502783622,106411.42233075498,163078.23484615373
16746.96130381111,107837.26209230442,166407.4204615382
23980.644022571578,97262.77278692293,143888.6616923078
16669.964466535745,108095.44097746855,165815.65107692295
24909.620049388694,96591.39809671746,142701.25269230787
22986.082991414696,97742.24070705206,144900.70338461522
21657.120826259496,99948.36997860135,149863.5881538461
17202.195531579713,107220.57044996286,164377.7600769231
