f1_makespan,f2_cost,f3_energy
15764.120560680318,111891.10203993939,173651.53269230775
17368.157820884026,106356.63339784309,163205.09330769232
19638.940126009278,103984.43156859896,157720.60730769212
16958.619359345565,107151.66841308416,164765.547
16460.79883287223,109410.97375948098,169010.1570000003
18440.07974023836,105378.04715226311,161488.06430769217
16617.589636073662,108519.95186392916,166515.78576923077
15930.71862853233,110261.44885284512,171090.8326153848
20590.205038971435,102165.61281557573,153741.56076923088
20536.2296919377,102368.5519091484,154654.57315384582
20324.383635386665,103690.32392693253,158030.8052307691
18399.749595909638,105693.13715047223,161998.71023076898
17089.09672062812,107360.6070590646,164001.705230769
28093.454619455897,95940.09358921014,142449.9574615385
19581.35065732181,104259.1844555725,158771.7085384619
19325.398141674752,104911.89888646372,160029.53030769186
30509.945508102854,95050.66724659236,141171.05723076907
24737.086785066975,97463.65205632547,144564.53907692293
18919.834632163693,105325.33409822875,160063.6107692309
18503.245676889095,105638.61822175044,161202.7873846153
21345.97960144111,102008.56800860577,154699.00130769226
20299.160352892526,103969.56391017446,157745.75192307695
20305.79097479422,103982.11469979948,157475.12953846148
22318.254242509738,99129.36678803564,147292.8773076922
19491.591924871227,104478.65902536776,159054.17838461528
25653.061089125335,96941.96014936347,144572.6559230769
22664.39919282582,99120.2659988513,147619.2477692306
22698.46055846358,98534.26127051446,146379.42184615377
25375.676473740725,97327.86031693946,145639.21315384615
22675.023473278976,98585.64131206658,146317.20207692296
22208.050872858403,99006.4800033254,148270.92438461498
26902.324381334685,96004.03478040958,142642.41323076916
19505.537481540494,104366.00067435749,158634.72784615372
25976.63689650676,96291.20613055308,142966.15776923086
19581.93993996167,104201.78030980272,157696.56207692332
23637.080721527167,97584.42770650887,145397.3478461536
18929.86301688475,104941.82643694183,159352.97076923095
23668.82661687049,97369.95184024212,145075.96915384594
24134.980300884286,97405.10776019984,144935.8857692309
23541.619183065628,97504.62584854792,145527.68792307682
23409.175590178842,97824.07516054722,145800.0530769233
18204.35406101605,106004.87590496484,161599.09153846125
24246.346970694143,97358.3011004905,144974.64669230784
18356.32206014663,105806.90036020034,161132.38776923055
18228.50099947821,105870.44625671156,161789.58276923088
17411.659526864358,106181.91802788326,161623.9393846153
