generation,hypervolume
0,2.4229234484538643E12
1,2.8420737138489307E12
2,3.004939927993541E12
3,3.088743634224751E12
4,3.098898796855076E12
5,3.098898796855076E12
6,3.098905768651601E12
7,3.098905768651601E12
8,3.098905768651601E12
9,3.098905768651601E12
10,3.098905768651601E12
11,3.098905768651601E12
12,3.098905768651601E12
13,3.098905768651601E12
14,3.098905768651601E12
15,3.098905768651601E12
16,3.098905768651601E12
17,3.098905768651601E12
18,3.098905768651601E12
19,3.098905768651601E12
20,3.09902336027426E12
21,3.09902336027426E12
22,3.1027465940572485E12
23,3.1051685042879688E12
24,3.119346820410798E12
25,3.119346820410798E12
26,3.119346820410798E12
27,3.131600241121254E12
28,3.134201638113244E12
29,3.134201638113244E12
30,3.134201638113244E12
31,3.134201638113244E12
32,3.134201638113244E12
33,3.13421482488013E12
34,3.13421482488013E12
35,3.13421482488013E12
36,3.1352799684988584E12
37,3.1380704399537373E12
38,3.1380704399537373E12
39,3.1380704399537373E12
40,3.1380704399537373E12
41,3.1380704399537373E12
42,3.1380704399537373E12
43,3.139071221819715E12
44,3.139071221819715E12
45,3.139071221819715E12
46,3.139071221819715E12
47,3.139071221819715E12
48,3.1404699328203926E12
49,3.152121283697051E12
50,3.152121283697051E12
51,3.152121283697051E12
52,3.152121283697051E12
53,3.158148858559632E12
54,3.158148858559632E12
55,3.1599231564841406E12
56,3.161886163343749E12
57,3.161886163343749E12
58,3.1633651072601455E12
59,3.183514536786748E12
