f1_makespan,f2_cost,f3_energy
36822.726514530485,94717.9613271261,141175.7363076919
37836.57627656693,94561.43850021805,141274.0220769227
15590.08457345346,110817.23060843619,171884.60884615357
15218.404772305375,110811.45731860965,171963.99876923047
22097.34988612342,101070.40017387035,152728.218461538
16465.54461561148,107445.51052186229,164632.78961538477
21816.051642892482,102570.73315213964,155691.5046923078
16368.888934945984,109097.82076724834,168185.07346153853
22227.11762765779,99870.92743397981,149294.97923076918
22525.157573361343,99648.94468938782,149201.0321538461
15627.218122405504,110076.36942772398,170480.03584615383
23105.5036257062,98539.22085398424,146883.87369230774
29727.20629465125,96121.9692463513,142930.6456153846
30959.85871996379,95532.07526192008,141784.6179230769
18014.6263621254,106038.26935893751,161609.47523076914
18623.426069117777,105504.02235550527,160581.82338461542
17641.46004091771,106362.87988950942,162513.0196153845
34961.496315087425,95175.48659950806,141481.8729230766
27760.3076923077,96467.0190423781,142903.69592307697
20474.191235352988,103676.73909139867,157099.99546153843
32719.900754812526,95342.67906568253,141910.11876923064
16866.88813070651,107064.92974607789,164136.07523076903
15820.110788397273,109382.32588150252,168652.008
32573.72035099126,95444.54261186083,142022.27099999975
17551.87941194414,107146.30341141541,163807.74253846152
18917.42680920034,104946.30185739275,160074.67061538415
30110.905541325374,96048.97450103848,142810.63707692278
21483.128135660776,102944.97926177194,156265.77692307674
26855.9266502603,97364.49858118469,144596.8827692305
26626.543020383626,97295.66912202773,145670.85992307693
20273.87703161155,104123.79669982247,158845.2602307694
35793.086550542735,94673.84439044584,141187.13769230738
16284.4,109452.07811146481,168309.98561538482
27261.230769230777,96507.1523120993,142707.5552307693
20869.72093430032,103384.00061726813,156939.53630769224
20275.307296368068,104584.28703553,158771.15169230738
21171.128443709396,103285.2211240512,156427.95000000016
35103.34246893357,94824.07487328781,141208.06038461503
19699.92268098345,104519.41134445107,158785.4476153843
27120.89860234357,96915.5260604451,144617.16923076913
25944.245212636342,97319.02411619597,145246.14715384576
23313.46153846156,98496.35859313123,146600.5846153846
19441.307296368064,104721.19477401664,159104.34969230738
19149.818349245426,104818.3609888951,159524.4119999999
19157.456713245185,104781.83439734204,159328.49907692295
23443.55294226564,97868.03292408725,145285.29576923058
23882.742739238616,97482.42412318813,144721.91930769212
