f1_makespan,f2_cost,f3_energy
15423.136851715812,110215.75591065602,170565.8296153846
17148.9436939548,109309.77670023631,167434.37353846122
17368.860708991746,109086.69447574977,167090.08846153872
17678.438860947546,109179.03759254637,166929.72923076918
15517.313643725663,109437.2749336093,169229.9598461539
17113.44369395482,109010.71369664573,167966.6907692302
14903.12441661855,111279.39115543419,172925.30561538466
16694.70258157267,109123.61736135991,168035.43576923048
15413.045018416973,110613.79153913034,170999.702076923
16127.790372483812,109812.55245013893,168721.95807692313
15172.463264837314,110907.82201865799,172153.3599230767
16662.218644727294,109371.7229974694,167922.5323846153
17961.168244833636,108566.8421601786,166284.3198461536
18970.339509004734,107532.95637077643,163520.61784615385
15658.953340831855,109621.11959126772,169000.37215384602
