generation,hypervolume
0,2.6065350130989707E12
1,3.1322932027761904E12
2,3.196102596356167E12
3,3.196102596356167E12
4,3.200839967275795E12
5,3.200839967275795E12
6,3.200839967275795E12
7,3.200839967275795E12
8,3.200839967275795E12
9,3.200839967275795E12
10,3.200839967275795E12
11,3.200839967275795E12
12,3.209602087217464E12
13,3.2397461757467607E12
14,3.2490913968953857E12
15,3.250718029225608E12
16,3.250718029225608E12
17,3.250718029225608E12
18,3.250718029225608E12
19,3.250718029225608E12
20,3.250718029225608E12
21,3.250718029225608E12
22,3.250718029225608E12
23,3.250718029225608E12
24,3.250718029225608E12
25,3.250718029225608E12
26,3.250718029225608E12
27,3.250718029225608E12
28,3.250718029225608E12
29,3.251507170692849E12
30,3.262340836363375E12
31,3.283593856570925E12
32,3.283593856570925E12
33,3.3037351562082773E12
34,3.311742272712416E12
35,3.316703804028266E12
36,3.3187648970266104E12
37,3.355872099394553E12
38,3.377787591691588E12
39,3.411920883942575E12
40,3.411920883942575E12
41,3.440573286564923E12
42,3.440573286564923E12
43,3.440573286564923E12
44,3.440573286564923E12
45,3.440573286564923E12
46,3.440573286564923E12
47,3.440573286564923E12
48,3.440573286564923E12
49,3.440573286564923E12
50,3.440573286564923E12
51,3.464696834115216E12
52,3.464696834115216E12
53,3.464696834115216E12
54,3.464696834115216E12
55,3.464696834115216E12
56,3.464696834115216E12
57,3.464696834115216E12
58,3.464696834115216E12
59,3.464696834115216E12
