f1_makespan,f2_cost,f3_energy
17806.92811676666,106060.2019213772,161978.57769230736
18004.85119368974,105051.81556105905,159776.59753846133
15508.43351845589,108912.62974473153,167967.86192307685
20936.376910110772,103148.93623043872,156979.64746153838
19891.54360525128,104145.60798526715,157467.14769230766
21049.85063354527,102135.28570861522,154043.9196923075
22369.769230769234,100785.9728026105,152065.04330769257
29630.54350138206,95718.46394516964,142141.67999999996
17503.236534819192,106703.65540918554,162307.41553846144
27858.33202072294,96092.939766455,142789.42107692297
26414.222243678185,96877.47527059393,144343.3546153846
20348.199073446307,104019.04009101384,157420.0181538458
35463.69734753588,95022.81606685577,140617.33223076913
33287.158885997414,95921.21629422499,142018.28053846146
29054.06335768077,95931.3657518857,143019.2487692306
27462.46975989889,96556.52484370806,143216.42884615375
28648.875625974215,96034.27114679584,143279.6429999997
26953.5868140081,96436.86094451485,143361.10246153822
27989.543501382042,96039.95819106634,142863.73038461513
29231.62042445897,95985.6684958784,142997.7489230766
31177.1473781987,95528.1131216107,142262.65938461496
18788.923076923078,104638.43301189668,158511.95769230774
17637.31032278462,106266.73469982321,161916.31200000024
22916.697807995308,99556.0305720497,149482.89623076902
19172.8597361505,104323.19258384852,157799.88715384627
15852.28850485869,108559.03401254056,166790.08199999988
16214.519274089458,107967.46006520663,165657.83699999982
20369.520794940967,103689.01001556325,156739.06615384624
16298.7256074018,107554.5296580095,164884.1628461535
17126.43117839134,106262.78039202685,162683.94530769225
24663.049773344363,97614.28685389928,144762.36346153833
24357.410036798068,98221.58540529342,146211.5729999998
26274.95308515311,97328.51258804795,144625.772307692
25541.059667862257,97305.64802224874,144868.89207692278
23696.23076923078,98894.95056394416,147769.46584615365
15436.347999499876,111032.75027988535,172382.31876923086
24554.641835980798,98121.36970063853,145652.79599999997
25068.181017996798,97398.16023518359,144670.6375384615
23746.397534656287,98786.99417489422,148018.8461538461
22170.49138918611,101835.63449685142,153711.89607692306
25130.666591037054,97336.918265447,144609.56399999993
22937.367857166377,98993.38257812925,148322.00653846152
23798.214011012533,98304.00293640944,146910.6768461539
