generation,hypervolume
0,2.217983129206373E12
1,2.289329949044897E12
2,2.295235721317885E12
3,2.3701694725073003E12
4,2.3701694725073003E12
5,2.3792399482903164E12
6,2.379503350603022E12
7,2.3813660916731973E12
8,2.3874485700343804E12
9,2.4383098044144624E12
10,2.4383098044144624E12
11,2.4383098044144624E12
12,2.446659845621448E12
13,2.44762251472024E12
14,2.458011997346035E12
15,2.469197888807447E12
16,2.469197888807447E12
17,2.469402689649171E12
18,2.469402689649171E12
19,2.469402689649171E12
20,2.4696329576517275E12
21,2.477584004660122E12
22,2.506932820480417E12
23,2.506932820480417E12
24,2.5435018074614644E12
25,2.5435018074614644E12
26,2.5745416900829385E12
27,2.5745416900829385E12
28,2.5745416900829385E12
29,2.5745416900829385E12
30,2.5745416900829385E12
31,2.5745416900829385E12
32,2.5745416900829385E12
33,2.585937928960823E12
34,2.585937928960823E12
35,2.585937928960823E12
36,2.585937928960823E12
37,2.585937928960823E12
38,2.585937928960823E12
39,2.585937928960823E12
40,2.585937928960823E12
41,2.585937928960823E12
42,2.585937928960823E12
43,2.585937928960823E12
44,2.585937928960823E12
45,2.585937928960823E12
46,2.585937928960823E12
47,2.585937928960823E12
48,2.585937928960823E12
49,2.586141700961538E12
50,2.586141700961538E12
51,2.586141700961538E12
52,2.586141700961538E12
53,2.586141700961538E12
54,2.586141700961538E12
55,2.586141700961538E12
56,2.586802475532017E12
57,2.612726708336272E12
58,2.612726708336272E12
59,2.612726708336272E12
