f1_makespan,f2_cost,f3_energy
17224.73275379332,110312.68298036134,169428.30599999984
17341.04507249406,109575.1427381852,168888.21992307674
15939.393935445958,111744.41973720961,173153.70253846166
15753.403828957697,113901.91990927275,178046.57861538444
17680.45472249861,108769.14843419289,166737.70269230753
17081.484789701473,110414.22351339662,171042.18069230777
17300.94533094362,109759.40109152076,167952.28015384605
18750.676619081063,108463.66190929832,165842.8280769231
16854.35599044509,110910.90902126483,170935.78869230775
