generation,hypervolume
0,9.29059541741842E11
1,1.1560423279264446E12
2,1.2920780693133691E12
3,1.369052499858511E12
4,1.369052499858511E12
5,1.3881624726341597E12
6,1.4155871003834292E12
7,1.4216937294489744E12
8,1.4216937294489744E12
9,1.4216937294489744E12
10,1.4216937294489744E12
11,1.422481018066531E12
12,1.422481018066531E12
13,1.4242183073713447E12
14,1.4360747622804973E12
15,1.4360747622804973E12
16,1.4423627428068042E12
17,1.4423627428068042E12
18,1.5234808357346277E12
19,1.5234808357346277E12
20,1.5251761444503433E12
21,1.5251761444503433E12
22,1.5253404851183374E12
23,1.5370254080363447E12
24,1.5381308633423389E12
25,1.5381308633423389E12
26,1.5563940973429648E12
27,1.5563940973429648E12
28,1.5563940973429648E12
29,1.5563940973429648E12
30,1.5563940973429648E12
31,1.5563940973429648E12
32,1.5563940973429648E12
33,1.556588084392157E12
34,1.556588084392157E12
35,1.556588084392157E12
36,1.556588084392157E12
37,1.556588084392157E12
38,1.556588084392157E12
39,1.556588084392157E12
40,1.556588084392157E12
41,1.556588084392157E12
42,1.556588084392157E12
43,1.556588084392157E12
44,1.556588084392157E12
45,1.5945868205324917E12
46,1.5945868205324917E12
47,1.5945868205324917E12
48,1.5945868205324917E12
49,1.5945868205324917E12
50,1.5945868205324917E12
51,1.6119876869306738E12
52,1.6119876869306738E12
53,1.6119876869306738E12
54,1.6147482189922463E12
55,1.6147482189922463E12
56,1.6147482189922463E12
57,1.6147482189922463E12
58,1.6147482189922463E12
59,1.6147482189922463E12
