generation,hypervolume
0,1.6523725422172979E12
1,1.90743528587846E12
2,1.9425411467377734E12
3,1.9425411467377734E12
4,1.9425411467377734E12
5,1.9425411467377734E12
6,1.9425411467377734E12
7,1.9425411467377734E12
8,1.9425411467377734E12
9,1.9425411467377734E12
10,1.9438681289444644E12
11,1.9438681289444644E12
12,1.9455775149594966E12
13,1.9456961036934575E12
14,1.9456961036934575E12
15,1.9456961036934575E12
16,1.9456961036934575E12
17,1.9469600076521084E12
18,1.9506383631997368E12
19,1.9559251160710522E12
20,1.9559251160710522E12
21,1.9559251160710522E12
22,1.9559251160710522E12
23,1.9559251160710522E12
24,1.9559251160710522E12
25,1.9559251160710522E12
26,1.9559251160710522E12
27,1.9559251160710522E12
28,1.9559251160710522E12
29,1.9559251160710522E12
30,1.9559251160710522E12
31,1.9559251160710522E12
32,1.9559251160710522E12
33,1.967620413627754E12
34,1.9829274224374429E12
35,1.9829274224374429E12
36,1.9829274224374429E12
37,1.9829274224374429E12
38,1.9859468021877446E12
39,1.9890869556639512E12
40,1.9890869556639512E12
41,1.9896319393102852E12
42,1.9896319393102852E12
43,1.9896319393102852E12
44,1.9896319393102852E12
45,1.9910421120569292E12
46,2.0046821403758867E12
47,2.0046821403758867E12
48,2.0046821403758867E12
49,2.0094550271861724E12
50,2.009938781975458E12
51,2.009938781975458E12
52,2.0152468691052798E12
53,2.0152468691052798E12
54,2.0152468691052798E12
55,2.0152468691052798E12
56,2.0152468691052798E12
57,2.0152468691052798E12
58,2.0152468691052798E12
59,2.0152468691052798E12
