generation,hypervolume
0,9.593157645119326E11
1,9.605154962675308E11
2,1.100098533198631E12
3,1.1206289561142698E12
4,1.153777913099642E12
5,1.1735842467333667E12
6,1.1735842467333667E12
7,1.1762672633165376E12
8,1.252310467052316E12
9,1.2779427639566367E12
10,1.2787886368360735E12
11,1.2787886368360735E12
12,1.309668839479168E12
13,1.3209908676227432E12
14,1.3209908676227432E12
15,1.3210848807698364E12
16,1.3210848807698364E12
17,1.3210979330118027E12
18,1.3210979330118027E12
19,1.3210979330118027E12
20,1.3210979330118027E12
21,1.3210979330118027E12
22,1.349775474517628E12
23,1.360145586522014E12
24,1.360145586522014E12
25,1.3602514142689182E12
26,1.3602514142689182E12
27,1.3602514142689182E12
28,1.375712942153013E12
29,1.375712942153013E12
30,1.382105424461271E12
31,1.382105424461271E12
32,1.382105424461271E12
33,1.382105424461271E12
34,1.382105424461271E12
35,1.3826057900671536E12
36,1.3866505974951519E12
37,1.3866505974951519E12
38,1.3870633936355056E12
39,1.3870633936355056E12
40,1.3889147835405208E12
41,1.4125083949447756E12
42,1.4151083917324055E12
43,1.416861591599394E12
44,1.416861591599394E12
45,1.4169903846821543E12
46,1.4169903846821543E12
47,1.4169903846821543E12
48,1.4169903846821543E12
49,1.4169903846821543E12
50,1.4169903846821543E12
51,1.4169903846821543E12
52,1.4169903846821543E12
53,1.4169903846821543E12
54,1.4230812670113816E12
55,1.4230812670113816E12
56,1.4410864565101458E12
57,1.4410864565101458E12
58,1.4410864565101458E12
59,1.4415253435313962E12
