f1_makespan,f2_cost,f3_energy
31771.72725103609,94204.01788182122,139756.2779999999
32186.716461754168,94051.31634530016,139833.2729999997
16156.006292169399,108939.62803541364,167480.65661538448
28223.41765158951,95599.37180346258,141929.16299999968
29930.39812575696,95932.91066786234,141897.96969230735
16766.496593374806,107489.99967130813,164654.75030769198
16804.547345984498,107679.2150762714,163969.54707692293
30208.46866611113,94837.58945801281,140995.4935384613
31506.639538677246,94637.66454184166,140841.91615384576
18574.88326509001,105441.13979431523,160783.5389999999
16268.800000000003,108929.83661930477,167247.72161538442
18620.793730161047,104982.39732278304,159945.47376923068
16399.68314361571,108491.88482212438,167341.61538461532
21192.85983049849,103179.5643958536,156799.81753846127
17398.64374648602,107013.2283508529,162362.43992307712
28039.766977235526,96158.56210262985,143012.73346153824
22249.32120268002,102816.29980535379,155025.6869999999
20846.63212142464,103301.04129714808,155669.51238461505
17491.480111098634,106079.07329054328,162156.50238461528
30145.78274114157,95164.59647696442,140712.3733846151
21937.793856321954,102823.72874946323,155900.05869230744
19073.57984678198,104638.37283940357,159406.99661538444
27705.268081578884,96373.21069790181,143458.24269230728
19186.315264586756,104693.78236576392,158716.42823076923
21602.618809105792,103192.01477105846,155866.3587692308
23143.790663740692,97936.16583253437,145971.99438461533
18474.057751854798,105801.66569232212,161842.5057692306
22390.137395379086,99506.46924323172,149560.503923077
19651.698173098506,103698.83621971398,156905.6667692304
22472.705413596286,98585.31066068709,146906.40530769227
20668.742157570236,103421.12487281268,157339.2126923075
25045.956751016874,96894.44317131348,144102.19384615394
19052.550058764726,105417.66942518188,159869.61253846108
17394.928858099964,106451.89490005563,162638.04461538448
25360.098619310247,96327.6388501549,143575.07192307676
25241.765758277514,96399.9676555775,143697.1783846151
18164.571052411487,105812.67777618025,161721.9777692304
25079.756005279603,97062.54742727608,143794.35761538454
23603.922738151115,97532.88376052599,145056.04361538475
23838.066263943398,97101.61056682261,144291.96046153846
24623.734329103692,97068.05579868317,143987.99215384602
23273.734329103678,97689.28781529027,145046.71961538456
23811.07692307694,97110.8133834692,144111.62792307677
23751.80084648553,97311.66424365267,144516.54969230757
15895.250846086632,111232.61539419733,172520.57584615372
23108.489115735953,97986.21930514585,145688.52761538446
20146.159071555,103630.07162677504,157071.78715384612
17159.475922999576,106873.04271434687,163654.98023076932
