f1_makespan,f2_cost,f3_energy
17120.91957081206,109224.63302485214,167519.26753846143
18321.893979716064,109231.85634440697,166507.50392307676
18037.78209311182,108877.0041374308,166795.41830769245
16580.142756499932,109828.18676526622,168606.3895384616
16264.199999999997,109820.89489596139,169262.50523076885
20126.238176738694,108386.5858657033,165586.58815384645
14846.838768973825,113018.30966508992,177044.75330769244
15165.17578749534,110236.96179136023,171001.82976923088
16456.727333595176,109751.22361911122,169867.92946153847
18663.114106625366,108577.85179762605,166538.37115384618
18600.968431493973,108724.14753781243,166667.85923076893
18628.493073209847,108637.20078605504,165744.46246153838
15290.77553760916,109974.53660932562,169886.14730769227
14935.824950997314,110999.17813041803,171925.7750769234
16780.11567529857,109247.14254680314,168159.53815384622
17808.203133287865,109108.88215884463,167955.64315384612
