generation,hypervolume
0,1.0596831188811381E12
1,1.2364035918849526E12
2,1.2651712295314053E12
3,1.45269104038146E12
4,1.45269104038146E12
5,1.4797241365074316E12
6,1.4797241365074316E12
7,1.4918604500208882E12
8,1.4918604500208882E12
9,1.4918604500208882E12
10,1.5039008859450344E12
11,1.5039008859450344E12
12,1.5882647301534014E12
13,1.589084683877416E12
14,1.6338488432501143E12
15,1.6338488432501143E12
16,1.6454561851260754E12
17,1.6454792842875222E12
18,1.6457113247121165E12
19,1.6457113247121165E12
20,1.6457113247121165E12
21,1.6457113247121165E12
22,1.6457113247121165E12
23,1.6457113247121165E12
24,1.6457723328248079E12
25,1.659992309435613E12
26,1.6618672368918137E12
27,1.6618672368918137E12
28,1.6618672368918137E12
29,1.6618672368918137E12
30,1.6618672368918137E12
31,1.6618672368918137E12
32,1.6657710402880422E12
33,1.6747856613412415E12
34,1.6747856613412415E12
35,1.6747856613412415E12
36,1.6747868857525183E12
37,1.6747868857525183E12
38,1.6948118118017844E12
39,1.6948118118017844E12
40,1.6948118118017844E12
41,1.6948118118017844E12
42,1.6948118118017844E12
43,1.6948118118017844E12
44,1.6948118118017844E12
45,1.6997408855294465E12
46,1.6997408855294465E12
47,1.6997408855294465E12
48,1.6997408855294465E12
49,1.7003479146332156E12
50,1.7003479146332156E12
51,1.7003479146332156E12
52,1.7003479146332156E12
53,1.7003479146332156E12
54,1.7003479146332156E12
55,1.7003479146332156E12
56,1.7003479146332156E12
57,1.7003479146332156E12
58,1.7003479146332156E12
59,1.7003479146332156E12
