f1_makespan,f2_cost,f3_energy
15704.69770660813,110178.46155618489,170422.8768461537
17036.62277315837,107342.09290857924,163874.0169230769
15915.101074198967,109664.16568737318,169764.2088461537
15299.802389974207,110100.22003838513,170680.8032307689
20507.77661931222,103991.83105879147,157568.08684615375
18726.31564500955,105180.16916445628,160385.11661538426
16085.157634714697,108830.6096321739,168096.18299999967
20544.18229013027,103420.80120507244,156990.73638461524
20015.420772468573,103852.04765616643,157799.31346153826
19446.805387853194,104236.0854545686,158636.5610769228
19995.043751953257,104558.81013316778,158613.92584615387
29319.176259386204,95973.16985210961,142438.92046153836
36768.15422931275,95329.88773476599,141797.90030769203
25073.076923076933,97835.84026687375,146689.09776923075
27177.573985151324,96163.71897292935,142648.61861538465
26450.846153846167,96461.61214416297,144200.01576923058
29276.23076923079,95939.5942589891,143014.96315384592
32949.026560603976,95603.59024762744,142605.23376923057
28359.17636945689,96112.76112077177,142658.50592307677
19285.247435837002,104369.11567078362,159043.29138461564
33171.4111759886,95383.16543886048,142368.7788461537
28416.868677149207,96076.45094287618,142933.34030769224
29185.484061764586,95994.4085401691,142851.69692307693
29427.543401595754,95867.40741629036,142566.12853846134
15806.938428484405,109835.81551439306,169435.85653846132
16843.398759990134,107907.46096265616,165215.3556923075
25088.09993575364,97444.2843210635,145719.54553846145
25356.99144396418,97053.48929043084,144991.88953846146
26729.145290118024,96767.21701613447,144103.9832307692
25570.452982425722,96819.8955647583,144097.33869230768
23903.427134300684,97858.79242509068,145618.83923076923
18383.046631544592,105895.28148680092,160856.5059230766
21456.112396494915,100147.14584595249,149655.68100000007
21220.928058904887,100337.13120369874,149705.74084615393
24092.548449699658,98156.89168023686,145498.59484615386
23097.25444812294,98680.7308424117,146513.41776923073
22035.024415680597,99517.3596899794,149491.92899999986
23035.191818740266,98941.73232482941,146973.1516153845
17380.870366955707,106676.78818201194,162520.16353846152
22111.019354120574,98891.95590818087,147142.4946923076
17487.963053635223,106338.45934122904,161741.87284615374
16810.31415317832,109496.88805047209,168021.33623076914
22023.117971512867,99658.5728867359,148787.51907692294
21119.774212751036,100536.60583101139,150764.27607692295
19178.478161077437,105087.37516890626,160254.7398461541
23117.6978774773,98201.31488846343,145741.18107692298
21528.555359503087,99875.1923012719,148894.85353846152
20573.69728967411,100654.56779175677,150660.85938461524
