f1_makespan,f2_cost,f3_energy
16711.82913864091,106852.58038389708,163303.71346153851
20695.846153846167,103215.3655819435,155574.8889230767
16036.277804567759,108272.8194927347,166340.94253846127
18039.23076923079,105661.31185751857,161381.27884615352
20279.461538461564,103682.43317383173,157521.93461538435
18848.859013013636,104695.13906440583,159063.79499999975
20055.094077983897,103859.31755219365,157369.9873846152
16675.23576420421,107738.34793762563,165097.82907692296
27404.134603965915,95859.99743075704,141731.06815384605
28563.70623301407,95918.49412065373,141597.3701538461
21661.687062895468,103144.75526784554,156669.05907692283
26658.70446654475,96737.28277999234,143567.18976923043
31606.620028129168,95843.08478516944,142411.2763846152
19777.85079735992,104046.57948641117,157824.61269230774
20051.421824150766,103792.29641127185,157860.41792307646
24845.92187194581,96477.41408860101,143684.91715384583
20368.036907607555,103511.68799904718,156695.50776923055
24711.998795022733,96555.37421880531,143689.74946153816
19460.698737462346,104230.28417521031,158322.7347692306
18931.59779421023,104625.11495762711,158986.14969230755
19327.279209733893,104282.2315246649,158111.64299999984
22938.06694753732,98820.63772915283,146475.02792307702
17763.10925856419,105672.72982307737,161819.88830769228
22859.52848599886,98999.7878863127,146887.21292307717
19172.579145083295,104624.06431359595,158656.84938461526
22437.005201792406,98841.55293567035,147588.55130769272
20069.853294632398,103723.28569353266,158048.79669230763
18544.260444373725,105153.83163895289,159574.98023076888
18601.183521296807,105101.46650910011,159371.22069230728
18053.414290527577,105228.43976987082,159357.37199999954
17506.60480780046,106245.5393992423,161165.37807692308
24203.08333305999,97315.46975658493,144377.56961538453
22955.57967935235,98583.34288489347,146148.0749999998
23884.314833093933,97469.32533738633,145008.2081538461
22141.844656990117,99139.69348723422,147775.76053846153
24055.46794844461,97385.88098089899,144929.2659230769
24110.350285446002,97589.6821518605,144554.44846153836
23729.269077169407,97654.76434638695,144351.53999999992
22575.11882565791,98792.27462669536,147439.7328461538
24381.006409983067,96953.74044363563,144295.0599230766
23239.422923323255,97815.53174645698,144817.14599999995
22945.027088754694,98309.46741505896,146269.59046153838
