generation,hypervolume
0,2.812577738330588E12
1,2.936917501966212E12
2,3.0984864014021943E12
3,3.0984864014021943E12
4,3.1200234240224004E12
5,3.1200234240224004E12
6,3.1200234240224004E12
7,3.1200234240224004E12
8,3.120167971742292E12
9,3.120167971742292E12
10,3.120167971742292E12
11,3.120167971742292E12
12,3.120167971742292E12
13,3.120167971742292E12
14,3.120167971742292E12
15,3.120167971742292E12
16,3.120167971742292E12
17,3.120167971742292E12
18,3.120167971742292E12
19,3.120167971742292E12
20,3.120167971742292E12
21,3.3959626125404165E12
22,3.397818070215629E12
23,3.397818070215629E12
24,3.397818070215629E12
25,3.3982060247445396E12
26,3.407868110008045E12
27,3.4128461311064966E12
28,3.4128461311064966E12
29,3.4270884077483477E12
30,3.4272192526104395E12
31,3.4272192526104395E12
32,3.4272192526104395E12
33,3.447032311324186E12
34,3.4769441078427905E12
35,3.48125822021827E12
36,3.491634401321282E12
37,3.5060206694224194E12
38,3.5060206694224194E12
39,3.5060206694224194E12
40,3.5060206694224194E12
41,3.5060206694224194E12
42,3.5060206694224194E12
43,3.5060206694224194E12
44,3.5060206694224194E12
45,3.5060206694224194E12
46,3.5060206694224194E12
47,3.5060206694224194E12
48,3.5060206694224194E12
49,3.5060206694224194E12
50,3.5060206694224194E12
51,3.5060206694224194E12
52,3.5123399671399463E12
53,3.575824309120924E12
54,3.575824309120924E12
55,3.575824309120924E12
56,3.575824309120924E12
57,3.575824309120924E12
58,3.575824309120924E12
59,3.575824309120924E12
