generation,hypervolume
0,2.0001022272669946E12
1,2.1789696387933923E12
2,2.216703460305468E12
3,2.21672181002924E12
4,2.21672181002924E12
5,2.21672181002924E12
6,2.21672181002924E12
7,2.2297478324310234E12
8,2.2300593801204707E12
9,2.460480023514621E12
10,2.542289184511841E12
11,2.542289184511841E12
12,2.542289184511841E12
13,2.542289184511841E12
14,2.542289184511841E12
15,2.563871996072199E12
16,2.563871996072199E12
17,2.563871996072199E12
18,2.636758049272501E12
19,2.636758049272501E12
20,2.636758049272501E12
21,2.636758049272501E12
22,2.642943645077248E12
23,2.642943645077248E12
24,2.642943645077248E12
25,2.642943645077248E12
26,2.648886139299975E12
27,2.648886139299975E12
28,2.648886139299975E12
29,2.648886139299975E12
30,2.648886139299975E12
31,2.648886139299975E12
32,2.650743010818934E12
33,2.6660013310994194E12
34,2.6660013310994194E12
35,2.6660013310994194E12
36,2.696798672993352E12
37,2.696798672993352E12
38,2.696798672993352E12
39,2.7171671355042744E12
40,2.7171671355042744E12
41,2.724682387096172E12
42,2.724682387096172E12
43,2.724682387096172E12
44,2.724682387096172E12
45,2.724682387096172E12
46,2.724682387096172E12
47,2.724682387096172E12
48,2.724682387096172E12
49,2.802116088791294E12
50,2.802116088791294E12
51,2.804231861318657E12
52,2.804231861318657E12
53,2.804231861318657E12
54,2.804231861318657E12
55,2.804231861318657E12
56,2.804231861318657E12
57,2.804231861318657E12
58,2.804231861318657E12
59,2.804231861318657E12
