run,seed,ref_f1,ref_f2,ref_f3,pareto_mojs,pareto_aco,pareto_random,pareto_greedy,hv_mojs,hv_aco,hv_random,hv_greedy,time_mojs_s,time_aco_s,time_random_s,time_greedy_s,time_total_s
1,42,20380.525241999123,122625.81808423279,190798.64531538403,46,9,6,1,2.208051261184316E12,1.783115762560762E12,1.3807003094459858E12,8.639454473815851E11,7.4790439,0.601731,0.021339,0.0214949,8.2444573
2,43,20625.744280989173,125292.11190020003,195851.2364769229,43,13,9,1,3.464696834115216E12,2.612726708336272E12,2.1115765438222742E12,1.6482388056691E12,6.8740669,0.5666286,0.0195994,0.0048342,7.6146596
3,44,18963.82754037235,122816.79533305828,190140.7771153844,41,9,6,1,1.4579547879407861E12,1.2863947569881E12,8.243026067671669E11,6.880653368831172E11,6.7984238,0.5465276,0.0208271,0.0054489,7.4004589
4,45,20738.525126023727,121145.6030143254,187983.04698461547,42,10,4,1,2.0152468691052798E12,1.6147482189922463E12,1.0825818009004901E12,5.73824940690773E11,6.1968802,0.5576872,0.0166982,0.0045152,6.8111846
5,46,21770.57060050803,122806.26144881477,190515.30401538464,37,13,11,1,3.330561062061429E12,2.288864934242168E12,1.6218280399084707E12,1.0074408700066554E12,7.6032739,0.9507462,0.0556577,0.007235,8.6559062
