scenario_dir,summary_path,experiment,workflow,scenario,run,seed,ref_f1,ref_f2,ref_f3,pareto_mojs,pareto_aco,pareto_random,pareto_greedy,hv_mojs,hv_aco,hv_random,hv_greedy,time_mojs_s,time_aco_s,time_random_s,time_greedy_s,time_total_s
H:\Documents\cyTech\Ing3\Optimisation\MOO\results\exp_CyberShake-1000_2026-01-19_18-11-35\DEFAULT,H:\Documents\cyTech\Ing3\Optimisation\MOO\results\exp_CyberShake-1000_2026-01-19_18-11-35\DEFAULT\summary.csv,exp_CyberShake-1000_2026-01-19_18-11-35,CyberShake-1000,DEFAULT,1,42,20380.525241999123,122625.8180842328,190798.64531538403,46,9,6,1,2208051261184.316,1783115762560.762,1380700309445.9858,863945447381.5851,7.4790439,0.601731,0.021339,0.0214949,8.2444573
H:\Documents\cyTech\Ing3\Optimisation\MOO\results\exp_CyberShake-1000_2026-01-19_18-11-35\DEFAULT,H:\Documents\cyTech\Ing3\Optimisation\MOO\results\exp_CyberShake-1000_2026-01-19_18-11-35\DEFAULT\summary.csv,exp_CyberShake-1000_2026-01-19_18-11-35,CyberShake-1000,DEFAULT,2,43,20625.744280989173,125292.11190020003,195851.2364769229,43,13,9,1,3464696834115.216,2612726708336.272,2111576543822.2744,1648238805669.1,6.8740669,0.5666286,0.0195994,0.0048342,7.6146596
H:\Documents\cyTech\Ing3\Optimisation\MOO\results\exp_CyberShake-1000_2026-01-19_18-11-35\DEFAULT,H:\Documents\cyTech\Ing3\Optimisation\MOO\results\exp_CyberShake-1000_2026-01-19_18-11-35\DEFAULT\summary.csv,exp_CyberShake-1000_2026-01-19_18-11-35,CyberShake-1000,DEFAULT,3,44,18963.82754037235,122816.79533305828,190140.7771153844,41,9,6,1,1457954787940.786,1286394756988.1,824302606767.1669,688065336883.1172,6.7984238,0.5465276,0.0208271,0.0054489,7.4004589
H:\Documents\cyTech\Ing3\Optimisation\MOO\results\exp_CyberShake-1000_2026-01-19_18-11-35\DEFAULT,H:\Documents\cyTech\Ing3\Optimisation\MOO\results\exp_CyberShake-1000_2026-01-19_18-11-35\DEFAULT\summary.csv,exp_CyberShake-1000_2026-01-19_18-11-35,CyberShake-1000,DEFAULT,4,45,20738.525126023727,121145.6030143254,187983.04698461547,42,10,4,1,2015246869105.28,1614748218992.2463,1082581800900.49,573824940690.773,6.1968802,0.5576872,0.0166982,0.0045152,6.8111846
H:\Documents\cyTech\Ing3\Optimisation\MOO\results\exp_CyberShake-1000_2026-01-19_18-11-35\DEFAULT,H:\Documents\cyTech\Ing3\Optimisation\MOO\results\exp_CyberShake-1000_2026-01-19_18-11-35\DEFAULT\summary.csv,exp_CyberShake-1000_2026-01-19_18-11-35,CyberShake-1000,DEFAULT,5,46,21770.57060050803,122806.26144881477,190515.30401538464,37,13,11,1,3330561062061.429,2288864934242.168,1621828039908.4707,1007440870006.6554,7.6032739,0.9507462,0.0556577,0.007235,8.6559062
