generation,hypervolume
0,1.2184323758616702E12
1,1.316452141361669E12
2,1.4005909973558125E12
3,1.4014782358614158E12
4,1.402436378356421E12
5,1.402436378356421E12
6,1.4216441911949858E12
7,1.4821798910177202E12
8,1.548367461889462E12
9,1.548367461889462E12
10,1.548367461889462E12
11,1.548367461889462E12
12,1.548367461889462E12
13,1.5543840301503584E12
14,1.5543840301503584E12
15,1.5604175306305195E12
16,1.6185874582155322E12
17,1.6185874582155322E12
18,1.6185874582155322E12
19,1.619860107719771E12
20,1.619860107719771E12
21,1.664842164696302E12
22,1.664842164696302E12
23,1.6760600523361782E12
24,1.6760600523361782E12
25,1.6760600523361782E12
26,1.6760600523361782E12
27,1.6760600523361782E12
28,1.6760600523361782E12
29,1.6760600523361782E12
30,1.7113555940236973E12
31,1.7113555940236973E12
32,1.7113555940236973E12
33,1.7113555940236973E12
34,1.7113555940236973E12
35,1.7113555940236973E12
36,1.7114046236557117E12
37,1.7114046236557117E12
38,1.7114046236557117E12
39,1.7115746152013594E12
40,1.7115746152013594E12
41,1.7115746152013594E12
42,1.7115746152013594E12
43,1.7115746152013594E12
44,1.7115746152013594E12
45,1.7115746152013594E12
46,1.7153730984134795E12
47,1.7153730984134795E12
48,1.7153730984134795E12
49,1.7153730984134795E12
50,1.7153873457876362E12
51,1.7153873457876362E12
52,1.7153873457876362E12
53,1.7153873457876362E12
54,1.7153873457876362E12
55,1.7154932945780088E12
56,1.7154932945780088E12
57,1.7154932945780088E12
58,1.7483931908570986E12
59,1.7483931908570986E12
