f1_makespan,f2_cost,f3_energy
15796.561081567099,110527.31290363357,171806.97138461532
15897.639772393863,109941.23346579798,169690.5156923077
15970.302140699916,109558.6438257426,168942.68653846168
15537.378694541887,110741.90016952608,171820.1607692304
22610.50000000001,108552.76812166043,165313.213153846
18233.74317118062,108501.54292912057,165390.66276923084
15011.34226300145,112050.94810707377,174428.895
16416.215238854795,109113.54260587222,168051.7084615384
21880.199999999997,108573.39551235542,165076.95346153842
16821.379497312257,108597.07009492168,166146.88799999986
15871.185016230933,110958.19223737271,171648.13200000007
18590.365147907298,108756.27058805218,165383.81953846163
16228.012970821539,109325.9744770326,167956.2812307692
15837.599301902586,110781.1144296143,171771.57507692283
16218.002175677759,109324.28443003273,168585.1799999999
17406.251121367666,108159.93976636587,165638.79761538474
15217.27931615967,111437.9016847001,173266.37469230755
