generation,hypervolume
0,1.7360413605328755E12
1,1.976997161389072E12
2,2.0087890615052012E12
3,2.0087890615052012E12
4,2.0087890615052012E12
5,2.0087890615052012E12
6,2.011037531663315E12
7,2.011037531663315E12
8,2.011037531663315E12
9,2.011037531663315E12
10,2.011037531663315E12
11,2.011037531663315E12
12,2.011037531663315E12
13,2.011037531663315E12
14,2.011037531663315E12
15,2.032215292307999E12
16,2.03374136264944E12
17,2.0386491343413237E12
18,2.0386491343413237E12
19,2.0386491343413237E12
20,2.0386491343413237E12
21,2.038766617196818E12
22,2.046959251661494E12
23,2.0469651389941238E12
24,2.0976245126535352E12
25,2.0976245126535352E12
26,2.0976245126535352E12
27,2.0976245126535352E12
28,2.0976245126535352E12
29,2.0976245126535352E12
30,2.0976245126535352E12
31,2.0976245126535352E12
32,2.0976245126535352E12
33,2.0976245126535352E12
34,2.107706919227771E12
35,2.107706919227771E12
36,2.108502935602202E12
37,2.1204304750652158E12
38,2.126616981095748E12
39,2.1326598485998708E12
40,2.1326598485998708E12
41,2.1326598485998708E12
42,2.1326598485998708E12
43,2.1326600086261548E12
44,2.1326600086261548E12
45,2.1326600086261548E12
46,2.1410918181839146E12
47,2.1410918181839146E12
48,2.1410918181839146E12
49,2.1459124421608042E12
50,2.1459124421608042E12
51,2.1690496479655964E12
52,2.17075584176774E12
53,2.17075584176774E12
54,2.17075584176774E12
55,2.1712500499487083E12
56,2.1712500499487083E12
57,2.171849510220155E12
58,2.171849510220155E12
59,2.178750551010076E12
