f1_makespan,f2_cost,f3_energy
19805.77475288235,104247.38643149761,157738.7563846154
17768.87952486816,105459.07009799518,160646.61969230746
15980.87824993413,111224.53514411607,172550.28046153815
20063.142952771428,102797.81611262886,155329.18061538457
20178.15384615385,102943.75508485809,155175.92907692317
20588.216449464235,101954.64860197034,153261.1262307693
20539.538461538476,101962.18240272722,153648.8923846155
16583.698216000783,108298.09612372892,166723.6220769228
16803.11293768933,108163.64388584025,166707.4066153844
30441.307692307702,94899.65069476582,141222.67084615363
19769.84332157446,103642.73368104767,158254.77000000008
19925.72832230471,103812.97156372355,158156.14638461548
19114.426425510832,104013.52001200411,158397.2794615386
16333.340553532937,108943.84618159065,168093.7820769229
22509.131810007402,99395.57155734622,148743.12253846164
16863.018636489225,107815.76619160161,165933.34269230757
19061.728025990415,104399.34798026716,158217.69715384598
17102.021498201324,107408.42014339488,165023.27746153876
19769.824087454923,104116.51628336518,158248.61330769217
24240.157250302786,97319.88972468919,144435.90276923095
17300.483036662867,106549.47828761776,162840.19846153862
17080.367841264713,108098.44307914152,165784.58423076905
24090.21931163977,97271.69380400474,144549.59146153854
23594.323585368827,98230.30634921178,147172.17115384608
23686.58851046259,97472.35191804913,144540.03900000016
18045.731240631183,105007.57159299942,159841.81684615376
22890.26963379498,98980.37329360975,147618.19523076894
18999.423548323488,104581.17552135506,159055.73307692297
22678.58318999116,99320.79744194951,148111.21338461526
24103.82510494216,97164.8196903174,144831.75807692314
17629.29083581694,106320.15436838311,162420.27323076932
21686.401289935944,99839.56447593922,149433.26353846156
22881.455116638626,99108.15189004128,148445.80638461513
21886.07544006988,99466.1187390172,148586.27584615385
18845.299633009603,104880.76300584125,160126.67261538454
24522.929088470046,96236.91690571357,142109.58807692298
25189.92908847005,95962.1107057302,141615.557076923
23667.866000923877,98546.46099858392,146789.58553846154
23398.967805375767,98739.03949672979,146945.33792307705
22559.769230769234,99383.1427951716,149876.35892307694
17334.214635758733,106362.57146629038,162237.80746153876
16162.062348166872,109735.96103919233,169492.88053846153
