generation,hypervolume
0,8.267848764651115E11
1,8.267848764651115E11
2,9.420242690692473E11
3,9.420242690692473E11
4,9.456172637759775E11
5,1.0676277167230645E12
6,1.0676277167230645E12
7,1.0676277167230645E12
8,1.0676277167230645E12
9,1.1010447669900793E12
10,1.102193006957747E12
11,1.102193006957747E12
12,1.102193006957747E12
13,1.102193006957747E12
14,1.102193006957747E12
15,1.102193006957747E12
16,1.1028052821361091E12
17,1.1028052821361091E12
18,1.1028052821361091E12
19,1.1028052821361091E12
20,1.1028052821361091E12
21,1.1028052821361091E12
22,1.1028052821361091E12
23,1.1028052821361091E12
24,1.1028052821361091E12
25,1.1040039955604822E12
26,1.1040039955604822E12
27,1.1040039955604822E12
28,1.1040039955604822E12
29,1.1040039955604822E12
30,1.1040039955604822E12
31,1.179325827042755E12
32,1.1797990606104067E12
33,1.1797990606104067E12
34,1.1797990606104067E12
35,1.1797990606104067E12
36,1.1797990606104067E12
37,1.1797990606104067E12
38,1.189105900666421E12
39,1.1896953014046472E12
40,1.268579459453061E12
41,1.268579459453061E12
42,1.268579459453061E12
43,1.268579459453061E12
44,1.268579459453061E12
45,1.268579459453061E12
46,1.268579459453061E12
47,1.2853340136021104E12
48,1.2853340136021104E12
49,1.2853340136021104E12
50,1.2853340136021104E12
51,1.2853340136021104E12
52,1.2853340136021104E12
53,1.2853340136021104E12
54,1.2853340136021104E12
55,1.2853340136021104E12
56,1.2853340136021104E12
57,1.2863947569881E12
58,1.2863947569881E12
59,1.2863947569881E12
