f1_makespan,f2_cost,f3_energy
17225.888672118628,110312.94291003142,169428.30599999984
17341.181257035587,109575.46642891821,168888.21992307674
15940.600354849737,111744.77489480977,173153.70253846166
15753.403828957697,113902.5377092903,178046.57861538444
17680.45472249861,108769.37954023144,166737.70269230753
17081.89173022109,110414.45714422247,171042.18069230777
17301.081526903654,109759.80167964623,167952.28015384605
18751.136403435226,108464.10425314275,165842.8280769231
16855.106724644236,110911.37234847095,170935.78869230775
