generation,hypervolume
0,2.706522227720923E12
1,2.8082712255966846E12
2,2.884079431684409E12
3,2.88738923149979E12
4,2.894528920412013E12
5,2.922656171561767E12
6,2.922899607092489E12
7,2.922899607092489E12
8,2.922899607092489E12
9,2.927522978388882E12
10,2.927929128456469E12
11,2.927929128456469E12
12,3.0111913059631846E12
13,3.02486799705268E12
14,3.02486799705268E12
15,3.02486799705268E12
16,3.02486799705268E12
17,3.02486799705268E12
18,3.02486799705268E12
19,3.02486799705268E12
20,3.02486799705268E12
21,3.02486799705268E12
22,3.02486799705268E12
23,3.02486799705268E12
24,3.02486799705268E12
25,3.02486799705268E12
26,3.02486799705268E12
27,3.029958902643938E12
28,3.029958902643938E12
29,3.029958902643938E12
30,3.029958902643938E12
31,3.030009568950081E12
32,3.0349076209370835E12
33,3.0349076209370835E12
34,3.038325350991606E12
35,3.038325350991606E12
36,3.0432794659852437E12
37,3.0432794659852437E12
38,3.0432794659852437E12
39,3.0432794659852437E12
40,3.0432794659852437E12
41,3.0432794659852437E12
42,3.118336041748276E12
43,3.119443682368882E12
44,3.1260929493289326E12
45,3.1275920025113955E12
46,3.1293047544396865E12
47,3.1293047544396865E12
48,3.1314805196417754E12
49,3.1314805196417754E12
50,3.1314805196417754E12
51,3.1314805196417754E12
52,3.1314805196417754E12
53,3.1322906877854565E12
54,3.1534648094433623E12
55,3.154583408581297E12
56,3.1549336678947705E12
57,3.1549336678947705E12
58,3.1549336678947705E12
59,3.1549336678947705E12
